spec.name	coordx	coordy	ele	route	forest	det071	det072	det073	date071	date072	date073	dur071	dur072	dur073
Squirrel	922942	63276	450	6.2	3	0	0	0	20	46	54	230	300	280
Squirrel	928942	79276	450	5.5	21	0	0	0	19	50	56	180	180	180
Squirrel	928942	103276	1050	4.3	32	0	0	0	22	55	61	175	195	175
Squirrel	934942	95276	950	4.5	9	1	1	0	22	49	70	300	255	240
Squirrel	934942	111276	1150	5.4	35	0	0	0	15	43	60	180	215	210
Squirrel	946942	95276	550	3.6	2	0	0	0	21	40	49	200	200	195
Squirrel	946942	111276	750	3.9	6	0	0	0	21	53	64	150	210	135
Squirrel	952942	119276	650	6.1	60	0	0	0	37	50	65	210	210	190
Squirrel	958942	111276	550	5.1	5	0	0	0	29	43	57	205	255	180
Squirrel	958942	127276	550	3.9	13	0	0	0	20	40	60	180	185	195
Squirrel	958942	143276	1150	3.8	50	0	0	0	14	40	52	230	220	195
Squirrel	964942	103276	750	7.7	57	0	1	1	21	57	70	240	225	240
Squirrel	964942	135276	1250	1.9	84	0	0	0	49	65	84	170	165	167
Squirrel	970942	95276	750	7.9	15	1	0	0	18	52	64	300	280	255
Squirrel	970942	127276	450	4.4	17	0	0	0	15	43	62	230	210	210
Squirrel	970942	159276	1050	6	58	1	0	0	16	43	56	135	160	145
Squirrel	976942	119276	750	6.2	26	0	1	0	26	49	69	230	230	220
Squirrel	976942	151276	1250	6.1	32	0	0	1	36	66	79	255	340	285
Squirrel	982942	63276	1250	4.5	66	1	1	0	24	53	72	255	255	240
Squirrel	982942	79276	350	6.2	45	1	0	0	22	49	61	180	195	210
Squirrel	982942	95276	750	4.1	44	0	0	1	19	26	54	240	240	240
Squirrel	982942	111276	750	4.5	9	1	0	0	18	46	77	220	190	180
Squirrel	982942	127276	550	6.9	31	0	0	0	22	50	70	250	245	200
Squirrel	988942	71276	350	4.7	8	0	0	0	15	36	65	135	135	125
Squirrel	988942	87276	1350	3.7	78	0	0	1	40	68	80	275	260	255
Squirrel	988942	151276	550	5.7	37	1	1	0	14	28	54	180	195	240
Squirrel	988942	167276	1150	4	18	1	1	0	26	52	66	170	175	185
Squirrel	994942	63276	1450	6.6	54	0	0	1	27	55	74	240	255	270
Squirrel	994942	111276	950	4.3	6	0	0	0	14	39	64	190	160	170
Squirrel	994942	127276	650	4.7	3	0	0	0	17	33	54	248	259	245
Squirrel	994942	143276	550	4.2	27	0	0	0	18	33	50	180	215	210
Squirrel	994942	191276	850	5.3	56	0	1	0	25	51	65	240	260	255
Squirrel	1000942	39276	1250	5.6	66	1	0	1	25	39	82	220	230	195
Squirrel	1000942	55276	450	6.7	5	0	0	0	18	38	56	240	240	255
Squirrel	1000942	87276	1250	4	51	0	1	0	25	52	71	240	225	210
Squirrel	1000942	103276	1150	5.1	43	0	0	0	13	50	68	285	295	200
Squirrel	1000942	119276	750	6.5	40	1	0	1	15	31	51	363	352	386
Squirrel	1000942	135276	550	5.2	5	0	0	0	18	57	72	85	105	90
Squirrel	1000942	151276	450	5.5	3	0	0	0	15	43	53	140	145	135
Squirrel	1000942	167276	1250	5.6	52	0	0	1	26	49	65	205	255	195
Squirrel	1000942	183276	950	4.5	38	1	0	0	17	54	66	220	190	200
